kernel,type
f16-dwconv2d-chw,convolution
f32-conv-hwc,convolution
f16-dwconv,convolution
f32-dwconv,convolution
f32-dwconv2d-chw,convolution
qs8-dwconv,convolution
qs8-qc8w-dwconv,convolution
qu8-dwconv,convolution
f32-vcopysign,elementwise-binary
f16-vcmul,elementwise-binary
f16-vbinary,elementwise-binary
f32-vbinary,elementwise-binary
f32-vcmul,elementwise-binary
qs8-vadd,elementwise-binary
qs8-vaddc,elementwise-binary
qs8-vmul,elementwise-binary
qs8-vmulc,elementwise-binary
qu8-vadd,elementwise-binary
qu8-vaddc,elementwise-binary
qu8-vmul,elementwise-binary
qu8-vmulc,elementwise-binary
f16-qs8-vcvt,elementwise-conversion
qs8-f16-vcvt,elementwise-conversion
f16-f32-vcvt,elementwise-conversion
f32-f16-vcvt,elementwise-conversion
f32-qs8-vcvt,elementwise-conversion
f32-qu8-vcvt,elementwise-conversion
qs8-f32-vcvt,elementwise-conversion
qs8-vcvt,elementwise-conversion
qu8-f32-vcvt,elementwise-conversion
qu8-vcvt,elementwise-conversion
f16-vmulcaddc,elementwise-special
f32-vmulcaddc,elementwise-special
x8-lut,elementwise-unary
f16-vexp,elementwise-unary
f16-vsigmoid,elementwise-unary
f16-vsqrt,elementwise-unary
f16-vhswish,elementwise-unary
f16-vrnd,elementwise-unary
f16-vrsqrt,elementwise-unary
f16-vapproxgelu,elementwise-unary
f16-vcos,elementwise-unary
f16-velu,elementwise-unary
f16-vgelu,elementwise-unary
f16-vlrelu,elementwise-unary
f16-vsin,elementwise-unary
f16-vtanh,elementwise-unary
f32-vgelu,elementwise-unary
f32-vapproxgelu,elementwise-unary
f32-velu,elementwise-unary
f16-vclamp,elementwise-unary
f16-vunary,elementwise-unary
f32-vclamp,elementwise-unary
f32-vhswish,elementwise-unary
f32-vlrelu,elementwise-unary
f32-vrnd,elementwise-unary
f32-vrsqrt,elementwise-unary
f32-vsqrt,elementwise-unary
f32-vunary,elementwise-unary
f32-vcos,elementwise-unary
f32-vexp,elementwise-unary
f32-vlog,elementwise-unary
f32-vsigmoid,elementwise-unary
f32-vsin,elementwise-unary
f32-vtanh,elementwise-unary
qs8-vlrelu,elementwise-unary
qu8-vlrelu,elementwise-unary
bf16-gemm,gemm
qd8-f16-qb4w-gemm,gemm
qd8-f16-qc2w-gemm,gemm
qd8-f16-qc4w-gemm,gemm
qd8-f16-qc8w-gemm,gemm
qd8-f16-qc8w-igemm,gemm
qd8-f32-qb4w-gemm,gemm
qd8-f32-qc2w-gemm,gemm
qs8-qc2w-gemm,gemm
qs8-qc4w-gemm,gemm
qu8-gemm,gemm
qu8-igemm,gemm
f32-ppmm,gemm
f16-gemm,gemm
f16-igemm,gemm
f16-spmm,gemm
f32-gemm,gemm
f32-igemm,gemm
f32-spmm,gemm
qd8-f32-qc4w-gemm,gemm
qd8-f32-qc8w-gemm,gemm
qd8-f32-qc8w-igemm,gemm
qs8-qc8w-gemm,gemm
qs8-qc8w-igemm,gemm
f16-ibilinear,interpolation
f16-ibilinear-chw,interpolation
f32-ibilinear-chw,interpolation
s8-ibilinear,interpolation
u8-ibilinear,interpolation
f32-ibilinear,interpolation
qb4-packw,pack
x16-packw,pack
x32-packx,pack
x32-packw,pack
f16-avgpool,pooling
f16-maxpool,pooling
f32-avgpool,pooling
s8-maxpool,pooling
u8-maxpool,pooling
f32-maxpool,pooling
