capability_id,evidence_level,coverage_scope,differential_test_status,oracle_backend,executed_vectors,total_vectors,mismatch_found,evidence_path,evidence_sha256,full_intrinsic_proof
intrinsic:neon:vabsq_f32:d7921418b0f67e9a,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,6894f986907993de008aa1082e37f33eb710255751714a95a37c38e6606aff66,no
intrinsic:neon:vaddq_f32:eb0f2841c6e04bda,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,9fd89a998ad80d029915ed7f4e599d99bf306ade7808e1781dc2ca99928c3ad9,no
intrinsic:neon:vbslq_f32:77a354be995a3c54,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,3,3,no,verification/elementwise-compiler/FPDifferentialAudit.json,17175705fb2b355368b33186883a0878e13c8675463a73ab67db4071a7787da9,no
intrinsic:neon:vcaltq_f32:f3b8c142d67b794b,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,a716115cc3739ddddf2db251307e1e875be4e10c51c50c960df8d075b54a3a43,no
intrinsic:neon:vcvtq_f32_s32:b9802bf359b030b7,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,12771807a9f16557b1700c465d8e9d4c5a1630248f520d9cd27c952234e837ed,no
intrinsic:neon:vdivq_f32:004323a551f8da88,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,86887f1fd84062a68ee8ddd5ce3477153f2db81c425383cc1b98f5902e8128d6,no
intrinsic:neon:vmaxq_f32:0179c48d8b09ae1c,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,8df8b75d4c319fca6f7cd12ebc4616a9c8cdb4c86ede9999ef6e27aed926a018,no
intrinsic:neon:vminq_f32:db82f78c6ebf7e64,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,a61380fb1c429a777cf8066b54990d94c47e6e414bf3b23031dea36cab21d8fc,no
intrinsic:neon:vmulq_f32:dcf54b26c84f1dc6,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,d95517bb75658a8883534f3c82530e2c5427a0d934b5f4a547063080b87a0958,no
intrinsic:neon:vsqrtq_f32:e84688350b6bf566,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,8,8,no,verification/elementwise-compiler/FPDifferentialAudit.json,55df6f152f042a9ca2183a838866ba01deb91f47d4261897b3ad7c40e0a0e7b0,no
intrinsic:neon:vsubq_f32:77371b1c24735320,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,native-aarch64-neon,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,cd873f28069c2479d0b3920ae906082ff96c128f97dac267dd6825239fc66291,no
intrinsic:rvv:__riscv_vfabs_v_f32m8:8692f7eca5a88c0e,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,49b5af23eda61aebc79d52e7d63e5d21882c8dac1c67bdce64b464dcdc26410f,no
intrinsic:rvv:__riscv_vfadd_vf_f32m8:01eac112a6054ac6,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,b3c7532e43f936a0b95f8c084a7921307e5a04dc28eaad04a8a308ef30466477,no
intrinsic:rvv:__riscv_vfadd_vv_f32m8:fbb8ad033686b702,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,b29c7a89a5e64fb2bb26f16f8bbedf569c96d81d213256fc0db9316050416523,no
intrinsic:rvv:__riscv_vfcvt_f_x_v_f32m8:1a8179f58e454cb0,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,7c86e144fe38752bc80613db0be90462f346e497ffca5897f074c743fd9f5418,no
intrinsic:rvv:__riscv_vfcvt_x_f_v_i32m8:7bff3f9c5713a679,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,10,10,no,verification/elementwise-compiler/FPDifferentialAudit.json,29dedfe08068eabb026dd80af94f9158de525e98202b65ad73c214af7cfd636e,no
intrinsic:rvv:__riscv_vfdiv_vv_f32m8:c7705c5bae0ef6de,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,3ca1763c023e0208b9b09fa00b7c2115cd6118e5993d452721b90ef147df6e66,no
intrinsic:rvv:__riscv_vfmax_vv_f32m8:81604abed600e94a,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,807883591b72e44bf9b3253f358a84b115f6d848cb31a342ed5fdb113566ac83,no
intrinsic:rvv:__riscv_vfmin_vv_f32m8:967d79f48e239e74,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,b76e10eb099ebe92e74b920f327edf6952d000a88466786e27fa2a57fa839775,no
intrinsic:rvv:__riscv_vfmul_vf_f32m8:ab30ef11484ca4d1,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,78a5e75eaa001e40a846c717f46b68e935b592d95cb7b837b7e6342d3c8534c3,no
intrinsic:rvv:__riscv_vfmul_vv_f32m8:60d852e374befb54,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,7,7,no,verification/elementwise-compiler/FPDifferentialAudit.json,f295514d50a783d53343f75697e0ebe581ab569241ce9fc0564ff848bb133623,no
intrinsic:rvv:__riscv_vfsgnj_vv_f32m8:8db550674c7ec257,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,4,4,no,verification/elementwise-compiler/FPDifferentialAudit.json,21678ff6816d20bddb463c801c7ba1be17917a46f96c69d7281e6af9ed36af64,no
intrinsic:rvv:__riscv_vfsqrt_v_f32m8:5e4d461f0e1d45b0,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;flags-traps-memory-and-full-ISA-refinement-excluded,passed-sampled,spike-rvv-isa,8,8,no,verification/elementwise-compiler/FPDifferentialAudit.json,e77b54b1944a663f3fd9bc64724e5c315db0ed50933f5eb288756af8806643dc,no
