capability_id,semantic_family,subject_scope,registry_used,evidence_level,coverage_scope,differential_test_status,context_condition,oracle_backend,executed_vectors,total_vectors,mismatch_found,cleanup_recommendation,evidence_path,evidence_sha256,full_intrinsic_proof
intrinsic:neon:vadd_u16:a8e55d44f626517e,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,3394aa825e7a5d7995d5357aa8b6af7a1580ab6993fbdcd404b6a279c9667529,no
intrinsic:neon:vaddq_u16:c810e0f98c6e03f1,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,5068966745360dac4bcc63192adb8cca1631004a43a42a248b8da2fb2ad324df,no
intrinsic:neon:vaddq_u32:5bc130dcf4c4b1b7,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,c56a8e5807c7fc621c25cfdfa9e3c746a0b79b615195c6d5030fc77eb2d2f279,no
intrinsic:neon:vaddw_s8:00b39d41bff6c2a6,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,438e8151f2ee32cab237ba6ba18633b3e3fc961a56091d811a50f3ef2c4f0a6c,no
intrinsic:neon:vaddw_u8:1bd6d4b78070887a,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,02c703d07414486949990a9108509d7e73dc9456cc867740dc471eb5b4589ba0,no
intrinsic:neon:vand_u16:6d9841d12654106a,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,fa1b124d0e06ea78fccc467d34ade1743d1fe3c8ce0672788be0737158b9fd71,no
intrinsic:neon:vandq_u16:9dfd032203eb3118,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,725ee42b3dc3ac7c38f29be7574d78c0b4ec97304e8dd5fa12590f06b090176f,no
intrinsic:neon:vandq_u32:df35deab9d44f61f,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,0b088130b1d035b6109fd4bf6c049e2a9c1e337fb8810084c0f53983728f8b93,no
intrinsic:neon:vbsl_u16:027c196d76739cfe,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,a09795a854ee9603c0ae448fad5279675fa4057fa3fcc72cb715d7059c9002c9,no
intrinsic:neon:vbslq_s16:d16b12d7b6ed1a38,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,cbd85ed604ea4f431ae569d31a423beb4c37e093096322d8a9071a72390d1de5,no
intrinsic:neon:vbslq_u16:d64eb46a449d21c1,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,6bcd04b732ef1faccbeed224d1af01280f612459c14d0709250740c39c2087de,no
intrinsic:neon:vcgtq_u32:bf4dc14a648e71da,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,4e4e20223f11b0a86b5af76635e9ad9bf181ccb09ac31afccd8cc882082c4155,no
intrinsic:neon:vcltq_s16:0fef352b7a5b43e1,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,cf13cc344bd3ffcc6ea57ba2f1de57851f90657e27808b7dfb39aa95926343b3,no
intrinsic:neon:vcltq_s32:1382204ad11c49a2,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,b5b0b6f9fb38538dcc8fcc35c822fb19a0d14821b38817ceba5bc0f9a6394285,no
intrinsic:neon:vmax_s8:326a20adec82e395,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,607352fa9f5c403daf3b406d5631cb22278ca6be2b13fff399495e4c0929e9fb,no
intrinsic:neon:vmax_u8:5f3d0c315229037a,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,4a93f02b5449bfc294d36ec4069a72e4397dcd68037d82117da541c73b632a90,no
intrinsic:neon:vmaxq_s8:351554c23f3d1d75,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,3bfc4ce68501e966c3538ab83f6909d2f9a4888b6086bf037ccf5f2163a10210,no
